SA2 code,SA2 name,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,>85,Total Persons
11007,Braidwood,171,175,163,140,63,104,163,192,233,264,235,263,276,196,124,87,63,53,2965
11008,Karabar,652,687,689,739,703,643,700,706,745,701,617,521,403,259,190,123,98,36,9212
11009,Queanbeyan,549,419,530,532,816,777,792,746,721,663,615,556,418,371,343,341,258,235,9682
11010,Queanbeyan  East,214,216,216,262,458,372,338,340,297,342,334,299,222,147,98,69,64,31,4319
11011,Queanbeyan Region,734,948,1092,1015,535,453,687,1008,1175,1225,1116,1064,661,423,200,140,70,36,12582
11012,Queanbeyan West  Jerrabomberra,1187,1204,1058,853,648,767,1048,1337,1260,914,719,504,279,235,141,119,57,28,12358
11013,Bombala,139,182,179,148,114,107,130,170,177,203,204,211,167,129,97,86,72,74,2589
11014,Cooma,392,490,544,486,383,341,410,479,488,521,444,454,375,324,265,258,214,154,7022
11015,Cooma Region,173,218,242,196,75,92,155,205,240,269,261,260,260,201,129,89,46,30,3141
11016,Jindabyne  Berridale,423,392,452,412,434,492,517,523,602,574,482,417,297,201,164,96,61,46,6585
11017,Batemans Bay,421,464,484,455,299,336,390,428,434,480,485,628,551,464,352,308,229,174,7382
11018,Batemans Bay  South,413,430,502,441,333,283,384,396,441,533,529,593,632,574,485,431,317,175,7892
11019,Bega  Tathra,497,577,674,575,389,359,408,494,529,693,604,504,490,401,300,284,207,193,8178
11020,BegaEden Hinterland,482,638,770,643,278,205,378,572,677,901,886,767,546,389,287,222,108,49,8798
11021,Broulee  Tomakin,126,177,214,187,91,87,91,167,211,210,196,217,183,155,140,145,147,67,2811
11022,Deua  Wadbilliga,0,3,2,2,3,3,1,0,1,3,6,4,6,0,0,0,0,0,34
11023,Eden,173,210,247,243,155,136,142,200,235,275,251,231,204,178,144,101,62,47,3234
11024,Eurobodalla Hinterland,169,238,252,225,121,98,150,211,275,306,288,299,249,177,115,87,33,54,3347
11025,Merimbula  Tura Beach,473,496,604,539,329,310,409,543,627,675,665,747,765,693,557,443,340,275,9490
11026,Moruya  Tuross Head,341,441,560,485,260,232,336,391,519,634,621,625,562,522,456,323,186,146,7640
11027,Narooma  Bermagui,380,397,570,506,224,265,337,427,524,664,756,779,755,629,587,476,348,278,8902
11028,Avoca Beach  Copacabana,441,503,594,612,413,292,387,524,632,606,525,420,277,232,181,146,105,59,6949
11029,Box Head  MacMasters Beach,566,756,726,722,453,356,532,620,735,876,785,730,669,572,473,458,297,193,10519
11030,Calga  Kulnura,280,290,346,352,176,191,252,371,414,445,353,410,361,207,139,78,54,37,4756
11031,Erina  Green Point,657,786,935,998,707,448,556,765,934,1032,879,882,686,695,685,735,641,653,13674
11032,Gosford  Springfield,983,885,965,1094,1400,1359,1252,1107,1224,1220,1150,932,793,705,595,648,535,355,17202
11033,Kariong,577,624,662,527,306,366,475,559,616,458,325,270,216,153,142,73,54,43,6446
11034,Kincumber  Picketts Valley,360,455,584,619,350,303,327,432,541,570,440,360,289,269,308,444,383,360,7394
11035,Narara,399,469,598,585,401,393,418,424,548,526,479,449,313,198,137,119,99,43,6598
11036,Niagara Park  Lisarow,550,647,719,660,449,424,550,586,672,646,508,444,248,176,134,116,80,57,7666
11037,Point Clare  Koolewong,371,331,336,392,293,243,409,409,430,438,437,389,381,335,289,264,194,160,6101
11038,Saratoga  Davistown,344,430,477,467,293,276,370,386,490,487,446,430,331,304,293,329,225,134,6512
11039,Terrigal  North Avoca,709,758,864,842,809,702,752,772,840,908,900,799,650,535,464,355,257,163,12079
11040,Umina  Booker Bay  Patonga,1288,1389,1368,1212,1104,945,1279,1441,1511,1445,1455,1396,1425,1177,1140,1149,924,670,22318
11041,Wamberal  Forresters Beach,585,620,686,713,594,425,511,633,667,780,692,576,419,283,308,262,209,116,9079
11042,Woy Woy  Blackwall,741,773,734,735,612,589,773,784,863,927,831,897,804,719,685,708,615,470,13260
11043,Wyoming,733,781,813,741,680,681,671,728,730,717,708,738,522,403,351,447,407,481,11332
11044,Bateau Bay  Killarney Vale,1225,1368,1543,1534,1252,1072,1235,1252,1402,1466,1395,1222,1047,927,928,993,814,793,21468
11045,Blue Haven  San Remo,941,990,928,649,603,698,830,782,735,554,506,500,391,372,278,196,145,71,10169
11046,Budgewoi  Buff Point  Halekulani,546,536,640,548,471,410,490,514,580,593,571,495,582,537,500,424,294,148,8879
11047,Chittaway Bay  Tumbi Umbi,943,1121,1300,1155,909,773,925,987,1158,1149,1022,814,615,560,487,495,370,271,15054
11048,Gorokan  Kanwal  Charmhaven,1302,1316,1430,1401,1142,1051,1119,1316,1238,1398,1272,1188,1077,956,972,916,614,483,20191
11049,Jilliby  Yarramalong,175,269,239,226,162,99,115,239,217,244,232,267,182,90,60,60,29,13,2918
11050,Lake Munmorah  Mannering Park,577,679,752,598,501,358,516,626,691,649,516,508,602,752,599,468,234,120,9746
11051,Ourimbah  Fountaindale,357,394,393,405,277,271,307,328,412,397,330,269,236,143,90,96,42,29,4776
11052,Summerland Point  Gwandalan,300,379,418,314,201,207,363,381,363,369,285,361,365,329,227,171,87,63,5183
11053,The Entrance,628,612,589,640,675,645,715,697,748,768,673,789,752,715,690,642,494,311,11783
11054,Toukley  Norah Head,451,433,530,512,476,430,451,506,537,580,592,555,486,552,555,579,444,380,9049
11055,Tuggerah  Kangy Angy,423,409,376,298,323,320,361,367,345,313,265,205,212,195,134,124,88,69,4827
11056,Warnervale  Wadalba,857,920,810,506,391,569,779,858,676,509,434,481,440,382,261,217,173,169,9432
11057,Wyong,492,600,659,594,462,444,476,553,572,547,479,450,383,315,231,203,127,104,7691
